carrier,chargeType,port,containerType,freeDays,dayFrom,dayTo,rate,currency,notes
HAPAG,demurrage,Gdansk,40DRY,5,6,16,75,EUR,
HAPAG,demurrage,Gdansk,40DRY,5,17,Infinity,110,EUR,
HAPAG,demurrage,Gdynia,20DRY,7,6,16,65,EUR,
HAPAG,demurrage,Gdynia,20DRY,7,17,Infinity,110,EUR,
HAPAG,demurrage,Gdynia,40DRY,7,6,16,65,EUR,
HAPAG,demurrage,Gdynia,40DRY,7,17,Infinity,110,EUR,
HAPAG,detention,Gdansk,20DRY,7,8,9,40,EUR,
HAPAG,detention,Gdansk,20DRY,7,10,17,75,EUR,
HAPAG,detention,Gdansk,20DRY,7,18,Infinity,90,EUR,
HAPAG,detention,Gdansk,40DRY,7,8,9,55,EUR,
HAPAG,detention,Gdansk,40DRY,7,10,17,85,EUR,
HAPAG,detention,Gdansk,40DRY,7,18,Infinity,110,EUR,
HAPAG,detention,Gdynia,20DRY,7,8,9,40,EUR,
HAPAG,detention,Gdynia,20DRY,7,10,17,75,EUR,
HAPAG,detention,Gdynia,20DRY,7,18,Infinity,90,EUR,
HAPAG,detention,Gdynia,40DRY,7,8,9,55,EUR,
HAPAG,detention,Gdynia,40DRY,7,10,17,85,EUR,
HAPAG,detention,Gdynia,40DRY,7,18,Infinity,110,EUR,
MAERSK,demurrage,Gdansk,20DRY,5,6,17,65,EUR,
MAERSK,demurrage,Gdansk,20DRY,5,18,30,90,EUR,
MAERSK,demurrage,Gdansk,20DRY,5,31,Infinity,115,EUR,
MAERSK,demurrage,Gdansk,40DRY,5,6,17,85,EUR,
MAERSK,demurrage,Gdansk,40DRY,5,18,30,120,EUR,
MAERSK,demurrage,Gdansk,40DRY,5,31,Infinity,140,EUR,
MAERSK,demurrage,Gdynia,20DRY,5,6,17,65,EUR,
MAERSK,demurrage,Gdynia,20DRY,5,18,30,90,EUR,
MAERSK,demurrage,Gdynia,20DRY,5,31,Infinity,115,EUR,
MAERSK,demurrage,Gdynia,40DRY,5,6,17,85,EUR,
MAERSK,demurrage,Gdynia,40DRY,5,18,30,120,EUR,
MAERSK,demurrage,Gdynia,40DRY,5,31,Infinity,140,EUR,
MAERSK,detention,Gdansk,20DRY,3,4,10,55,EUR,
MAERSK,detention,Gdansk,20DRY,3,11,17,80,EUR,
MAERSK,detention,Gdansk,20DRY,3,18,Infinity,105,EUR,
MAERSK,detention,Gdansk,40DRY,3,4,10,75,EUR,
MAERSK,detention,Gdansk,40DRY,3,11,17,105,EUR,
MAERSK,detention,Gdansk,40DRY,3,18,Infinity,130,EUR,
MAERSK,detention,Gdynia,20DRY,3,4,10,55,EUR,
MAERSK,detention,Gdynia,20DRY,3,11,17,80,EUR,
MAERSK,detention,Gdynia,20DRY,3,18,Infinity,105,EUR,
MAERSK,detention,Gdynia,40DRY,3,4,10,75,EUR,
MAERSK,detention,Gdynia,40DRY,3,11,17,105,EUR,
MAERSK,detention,Gdynia,40DRY,3,18,Infinity,130,EUR,
MSC,demdet,Gdansk,20DRY,10,11,14,55,EUR,
MSC,demdet,Gdansk,20DRY,10,15,18,70,EUR,
MSC,demdet,Gdansk,20DRY,10,19,Infinity,90,EUR,
MSC,demdet,Gdansk,40DRY,10,11,14,80,EUR,
MSC,demdet,Gdansk,40DRY,10,15,18,100,EUR,
MSC,demdet,Gdansk,40DRY,10,19,Infinity,110,EUR,
MSC,demdet,Gdynia,20DRY,7,8,14,30,EUR,
MSC,demdet,Gdynia,20DRY,7,15,19,45,EUR,
MSC,demdet,Gdynia,20DRY,7,20,Infinity,70,EUR,
MSC,demdet,Gdynia,40DRY,7,8,14,40,EUR,
MSC,demdet,Gdynia,40DRY,7,15,19,80,EUR,
MSC,demdet,Gdynia,40DRY,7,20,Infinity,90,EUR,
MSC,storage,Gdansk,20DRY,7,8,14,8.5,EUR,
MSC,storage,Gdansk,20DRY,7,15,30,17,EUR,
MSC,storage,Gdansk,20DRY,7,31,60,25,EUR,
MSC,storage,Gdansk,20DRY,7,61,90,50,EUR,
MSC,storage,Gdansk,20DRY,7,91,Infinity,90,EUR,
MSC,storage,Gdansk,40DRY,7,8,14,17,EUR,
